"Site","area_sampled","num","ave_tt","ave_hw","ave_sf","ave_rm","total_ave_sg","fSite"
14,3,0,0,1,0,0,1,"14"
15,3,0,10,0,0,0,10,"15"
16,3,0,46.5,0,0,0,46.5,"16"
17,3,0,38.5,2,0,0,40.5,"17"
18,3,0,0,12.5,0,0,12.5,"18"
19,3,0,0,21.5,0,0,21.5,"19"
20,3,0,0.2,24.1,0,0,24.3,"20"
21,3,0,0.3,39.5,0,0,39.8,"21"
22,3,0,0.4,17,0,0,17.4,"22"
23,3,0,0.9,20.5,0,0,21.4,"23"
10,3,0,19.5,2.6,0,0,22.1,"10"
11,3,0,38.5,7,0,0,45.5,"11"
12,3,0,0,46,0,0,46,"12"
13,3,0,14.1,2.6,0,0,16.7,"13"
7,3,0,34,24,0,0,58,"7"
8,3,0,1.5,3.5,0,0,5,"8"
9,3,0,15.5,4,0,0,19.5,"9"
1,3,0,35.5,6.5,0,0,42,"1"
2,3,0,0.6,23.6,0,0.5,24.7,"2"
3,3,0,3.5,20,0,0,23.5,"3"
4,3,0,29.5,23,0,0.1,52.6,"4"
5,3,0,3,41.6,0,0.6,45.2,"5"
6,3,0,0,78.5,0,0.2,78.7,"6"
34,3,0,47.5,3,0,0,50.5,"34"
35,3,0,8.6,25,0,0,33.6,"35"
36,3,0,1,24,0,0,25,"36"
37,3,0,0.6,23.5,0,0,24.1,"37"
38,3,0,3,21.5,0,0,24.5,"38"
39,3,0,15,5.1,0,0,20.1,"39"
12,3,1,0,8,0,0,8,"12"
13,3,1,0,4.5,0,0,4.5,"13"
14,3,1,0.2,0.5,0,0,0.7,"14"
15,3,0,0,16.1,0,0,16.1,"15"
16,3,0,0.5,40,0,0,40.5,"16"
17,3,0,0,24.9,0,0,24.9,"17"
1,3,0,9.4,4.1,0,0,13.5,"1"
10,3,0,45,0,0,0,45,"10"
11,3,2,54,1,0,0,55,"11"
2,3,0,0,23.6,0,0,23.6,"2"
3,3,0,0,52.5,0,0,52.5,"3"
7,3,0,21.5,10,0,0,31.5,"7"
8,3,0,13,2.1,0,0,15.1,"8"
9,3,1,24.5,1.5,0,0,26,"9"
4,3,0,6,75.5,0,0,81.5,"4"
5,3,0,0,14,0,0,14,"5"
6,3,0,0,1,0,0,1,"6"
43,3,2,32.5,0.5,0,0,33,"43"
44,3,18,0,10.5,0,0,10.5,"44"
45,3,2,43,0.1,0,0,43.1,"45"
46,3,1,25,16.5,0,0,41.5,"46"
47,3,2,56,0,0,0,56,"47"
38,3,0,0.1,22,0,0,22.1,"38"
39,3,0,0,8.6,0,0,8.6,"39"
40,3,1,16.1,3.5,0,0,19.6,"40"
41,3,3,7.6,13,0,0,20.6,"41"
42,3,0,1,0,0,0,1,"42"
30,3,1,2,14.1,0,0,16.1,"30"
31,3,0,0.5,15,0,0,15.5,"31"
32,3,0,0,48,0,0,48,"32"
33,3,1,16.1,26.1,0,0,42.2,"33"
34,3,0,31.5,16,0,0,47.5,"34"
35,3,0,0,8,0,0,8,"35"
36,3,0,0,12,0,0,12,"36"
37,3,0,0,5,0,0.1,5.1,"37"
18,3,0,0,30.5,0,0,30.5,"18"
19,3,0,0,11,0,0,11,"19"
20,3,0,0,46.5,0,0,46.5,"20"
21,3,0,0,14.5,0,0,14.5,"21"
22,3,0,1.2,28,0,3.5,32.7,"22"
